Tick,Mode,SH5_Temp,O2,Waste_Deposit,Efficiency_AS,Barycenter,AS_Flow,Pusher_Speed
0,1,619,5,50.00,0.21,2.98,7650,50.1
1,1,619,5,50.00,0.21,2.98,7650,50.2
2,1,619,5,50.01,0.21,2.98,7650,50.3
3,1,619,5,50.01,0.21,2.98,7650,50.4
4,1,619,5,50.02,0.21,2.98,7650,50.5
5,1,619,5,50.03,0.21,2.98,7650,50.6
6,1,618,5,50.04,0.21,2.98,7650,50.7
7,1,618,5,50.06,0.21,2.98,7650,50.8
8,1,618,5.1,50.07,0.21,2.98,7650,50.9
9,1,618,5.1,50.09,0.21,2.98,7650,51.0
10,1,618,5.1,50.11,0.21,2.98,7650,51.1
11,1,618,5.1,50.13,0.21,2.98,7650,51.2
12,1,618,5.1,50.16,0.21,2.98,7650,51.3
13,1,618,5.1,50.18,0.21,2.98,7650,51.4
14,1,618,5.1,50.21,0.21,2.98,7650,51.5
15,1,618,5.1,50.24,0.21,2.98,7650,51.6
16,1,618,5.1,50.27,0.21,2.98,7650,51.7
17,1,618,5.1,50.31,0.21,2.98,7650,51.8
18,1,617,5.1,50.34,0.21,2.98,7650,51.9
19,1,617,5.1,50.38,0.21,2.98,7650,52.0
20,1,617,5.1,50.42,0.21,2.98,7650,52.1
21,1,617,5.1,50.46,0.21,2.98,7650,52.2
22,1,617,5.2,50.51,0.21,2.98,7650,52.3
23,1,617,5.2,50.55,0.21,2.98,7650,52.4
24,1,617,5.2,50.60,0.21,2.98,7650,52.5
25,1,617,5.2,50.65,0.21,2.98,7650,52.6
26,1,617,5.2,50.70,0.21,2.98,7650,52.7
27,1,617,5.2,50.76,0.21,2.98,7650,52.8
28,1,617,5.2,50.81,0.21,2.98,7650,52.9
29,1,617,5.2,50.87,0.21,2.98,7650,53.0
30,1,617,5.2,50.93,0.21,2.98,7650,53.1
31,1,617,5.2,50.99,0.21,2.98,7650,53.2
32,1,617,5.2,51.06,0.21,2.98,7650,53.3
33,1,617,5.2,51.12,0.21,2.98,7650,53.4
34,1,617,5.2,51.19,0.21,2.98,7650,53.5
35,1,617,5.2,51.26,0.21,2.98,7650,53.6
36,1,617,5.2,51.33,0.21,2.98,7650,53.7
37,1,617,5.2,51.41,0.21,2.98,7650,53.8
38,1,617,5.2,51.48,0.21,2.98,7650,53.9
39,1,617,5.2,51.56,0.21,2.98,7650,54.0
40,1,617,5.2,51.64,0.21,2.98,7650,54.1
41,1,617,5.2,51.72,0.21,2.98,7650,54.2
42,1,616,5.2,51.81,0.21,2.98,7650,54.3
43,1,616,5.2,51.89,0.21,2.98,7650,54.4
44,1,616,5.2,51.98,0.21,2.98,7650,54.5
45,1,616,5.2,52.07,0.21,2.98,7650,54.6
46,1,616,5.2,52.16,0.21,2.98,7650,54.7
47,1,616,5.2,52.26,0.21,2.98,7650,54.8
48,1,616,5.2,52.35,0.21,2.98,7650,54.9
49,1,616,5.2,52.45,0.21,2.98,7650,55.0
50,1,616,5.2,52.55,0.21,2.98,7650,55.1
51,1,616,5.2,52.65,0.21,2.98,7650,55.2
52,1,616,5.2,52.76,0.21,2.98,7650,55.3
53,1,616,5.2,52.86,0.21,2.98,7650,55.4
54,1,617,5.2,52.97,0.21,2.98,7650,55.5
55,1,617,5.2,53.08,0.21,2.98,7650,55.6
56,1,617,5.2,53.19,0.21,2.98,7650,55.7
57,1,617,5.2,53.31,0.21,2.98,7650,55.8
58,1,617,5.2,53.42,0.21,2.98,7650,55.9
59,1,617,5.2,53.54,0.21,2.98,7650,56.0
60,1,617,5.2,53.66,0.21,2.98,7650,56.1
61,1,617,5.2,53.78,0.21,2.98,7650,56.2
62,1,617,5.2,53.91,0.21,2.98,7650,56.3
63,1,617,5.2,54.03,0.21,2.98,7650,56.4
64,1,617,5.2,54.16,0.21,2.98,7650,56.5
65,1,617,5.2,54.29,0.21,2.98,7650,56.6
66,1,617,5.2,54.42,0.21,2.98,7650,56.7
67,1,617,5.2,54.56,0.21,2.98,7650,56.8
